state_abbrev,grade,year,gender_female,gender_male,pared_did_not_finish_high_school,pared_graduated_college,pared_graduated_high_school,pared_some_education_after_high_school,pared_unknown,schtype_bureau_of_indian_education,schtype_catholic,schtype_department_of_defense,schtype_other_private,schtype_public,slunch3_eligible,slunch3_information_not_available,slunch3_not_eligible,srace10_american_indian_alaska_native,srace10_asian,srace10_black,srace10_hispanic,srace10_native_hawaiian_other_pacific_islander,srace10_two_or_more_races,srace10_white,FIPS,hh_in_group_quarters,hh_in_households,hh_in_householdsin_family_households,hh_in_householdsin_family_householdsbrother_or_sister,hh_in_householdsin_family_householdschild,hh_in_householdsin_family_householdschildadopted_child,hh_in_householdsin_family_householdschildbiological_child,hh_in_householdsin_family_householdshouseholder,hh_in_householdsin_family_householdshouseholderfemale,hh_in_householdsin_family_householdshouseholdermale,hh_in_householdsin_family_householdsnonrelatives,hh_in_householdsin_family_householdsnonrelativesfoster_child,hh_in_householdsin_family_householdsnonrelativeshousemate_or_roommate,hh_in_householdsin_family_householdsnonrelativesother_nonrelatives,hh_in_householdsin_family_householdsnonrelativesroomer_or_boarder,hh_in_householdsin_family_householdsnonrelativesunmarried_partner,hh_in_householdsin_family_householdsother_relatives,hh_in_householdsin_family_householdsparent,hh_in_householdsin_family_householdsspouse,hh_in_householdsin_nonfamily_households,hh_in_householdsin_nonfamily_householdshouseholder,hh_in_householdsin_nonfamily_householdshouseholderfemale,hh_in_householdsin_nonfamily_householdshouseholderfemaleliving_alone,hh_in_householdsin_nonfamily_householdshouseholderfemalenot_living_alone,hh_in_householdsin_nonfamily_householdshouseholdermale,hh_in_householdsin_nonfamily_householdshouseholdermaleliving_alone,hh_in_householdsin_nonfamily_householdshouseholdermalenot_living_alone,hh_in_householdsin_nonfamily_householdsnonrelatives,hh_in_householdsin_nonfamily_householdsnonrelativesfoster_child,hh_in_householdsin_nonfamily_householdsnonrelativeshousemate_or_roommate,hh_in_householdsin_nonfamily_householdsnonrelativesother_nonrelatives,hh_in_householdsin_nonfamily_householdsnonrelativesroomer_or_boarder,hh_in_householdsin_nonfamily_householdsnonrelativesunmarried_partner,median_household_income,pov_ratio_100_124,pov_ratio_125_149,pov_ratio_150_174,pov_ratio_175_184,pov_ratio_185_199,pov_ratio_200_299,pov_ratio_300_399,pov_ratio_400_499,pov_ratio_50_74,pov_ratio_500_and_over,pov_ratio_75_99,pov_ratio_under_50,state,educ_less_than_hs,educ_hs_or_ged,educ_some_college,educ_bachelors,educ_graduate
AK,4,2013,235.67,236.55,,,,,,,,,,236.12,224.42,,248.55,212.83,237.15,228.15,234.62,223.38,237.86,249.06,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,4,2015,234.67,237.93,,,,,,,,,,236.33,225.22,,248.13,219.41,238.85,221.09,235.32,215.76,243.44,246.28,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,4,2017,230.46,230.45,,,,,,,,,,230.46,218.73,,242.08,207.88,235.86,222.58,224.39,211.51,233.72,243.72,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,4,2019,231.98,232.61,,,,,,,,,,232.31,219.69,,244.99,208.89,227.4,226.72,227.17,221.12,234.72,246.83,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,8,2013,281.39,281.72,,,,,,,,,,281.56,267.24,,293.62,262.2,278.24,269.88,276.66,256.54,284.56,294.47,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,8,2015,280.88,280.14,,,,,,,,,,280.49,266.15,,293.55,257.14,282.48,268.87,279.06,,284.67,294.8,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,8,2017,276.56,277.45,,,,,,,,,,277.02,261.51,,290.55,253.1,280.97,254.77,273.49,258.22,280.03,290.61,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AK,8,2019,271.92,276.64,,,,,,,,,,274.34,259.96,,288.73,248.42,277.33,253.59,274.06,249.8,281.4,289.48,2,0.0367338779091398,0.9632661220908602,0.8109288145758251,0.010861899499664,0.3107483382293327,0.0132469638325401,0.2818346392416662,0.2351287490490284,0.1098587286690841,0.1252700203799443,0.0302047990048811,0.0012591695866814,0.0045535570499614,0.0093750520604845,0.0019061078748771,0.0131109124328766,0.0136079165255249,0.0071399219231559,0.1753619244886966,0.152337307515035,0.1145774909900654,0.0507624431499508,0.0401212801048428,0.0106411630451079,0.0638150478401146,0.0487924744140071,0.0150225734261074,0.0377598165249696,0.000120780324191,0.0143506461053204,0.0062458698682245,0.0025613758406032,0.0144811443866303,70760.0,0.0274551713143646,0.0309210176716833,0.0340444124298121,0.0128537436454563,0.0217515808864772,0.133591549711573,0.1391947663948703,0.1266539526590185,0.0180436566745588,0.4050493897866762,0.0234402215307586,0.0270005372947504,Alaska,0.08363397835355779,0.27307666062808567,0.3682866645682046,0.1770786328887675,0.0979240635613832
AL,4,2013,232.38,233.31,,,,,,,,,,232.86,223.29,,246.44,,,215.32,228.08,,,241.7,1,0.0240446633940904,0.9759553366059096,0.8269237220523008,0.0114688108229635,0.2954713803766692,0.0073873627215099,0.2732013592880761,0.2587235535685896,0.1175508310939335,0.141172722474656,0.0154789981907691,0.0007411533028829,0.0028081313081116,0.0042448060405765,0.0011616333043498,0.0065232742348482,0.0157498723245188,0.0093878723816108,0.183907076003323,0.1490316145536088,0.1243931117124516,0.0679302319911936,0.0612498507587705,0.0066803812324231,0.056462879721258,0.0475186158248419,0.008944263896416,0.0246385028411571,0.0001454385733517,0.0111395945680984,0.0034592710527023,0.0023972360836851,0.0074969625633194,43253.0,0.0462041127950222,0.0476271778855523,0.0474427512269607,0.019265740291829,0.0280223824702863,0.1736864231375726,0.1422267787508275,0.1075360437340841,0.04032742577431,0.2445239778816866,0.0433757004588921,0.059761485592976,Alabama,0.16885152777438467,0.3105621766314746,0.2942738914577785,0.1435466587000812,0.0827657454362801
AL,4,2015,230.86,231.08,,,,,,,,,,230.98,222.58,,243.97,,,217.15,220.93,,,239.06,1,0.0240446633940904,0.9759553366059096,0.8269237220523008,0.0114688108229635,0.2954713803766692,0.0073873627215099,0.2732013592880761,0.2587235535685896,0.1175508310939335,0.141172722474656,0.0154789981907691,0.0007411533028829,0.0028081313081116,0.0042448060405765,0.0011616333043498,0.0065232742348482,0.0157498723245188,0.0093878723816108,0.183907076003323,0.1490316145536088,0.1243931117124516,0.0679302319911936,0.0612498507587705,0.0066803812324231,0.056462879721258,0.0475186158248419,0.008944263896416,0.0246385028411571,0.0001454385733517,0.0111395945680984,0.0034592710527023,0.0023972360836851,0.0074969625633194,43253.0,0.0462041127950222,0.0476271778855523,0.0474427512269607,0.019265740291829,0.0280223824702863,0.1736864231375726,0.1422267787508275,0.1075360437340841,0.04032742577431,0.2445239778816866,0.0433757004588921,0.059761485592976,Alabama,0.16885152777438467,0.3105621766314746,0.2942738914577785,0.1435466587000812,0.0827657454362801
