state_abbrev,state_name,grade,year,variable,category,mean_score
AK,Alaska,4,2013,SLUNCH3,Eligible,224.42
AK,Alaska,4,2013,SLUNCH3,Not eligible,248.55
AK,Alaska,4,2013,SLUNCH3,Information not available,999.0
AL,Alabama,4,2013,SLUNCH3,Eligible,223.29
AL,Alabama,4,2013,SLUNCH3,Not eligible,246.44
AL,Alabama,4,2013,SLUNCH3,Information not available,999.0
AR,Arkansas,4,2013,SLUNCH3,Eligible,232.5
AR,Arkansas,4,2013,SLUNCH3,Not eligible,250.88
AR,Arkansas,4,2013,SLUNCH3,Information not available,999.0
AZ,Arizona,4,2013,SLUNCH3,Eligible,229.94
AZ,Arizona,4,2013,SLUNCH3,Not eligible,252.21
AZ,Arizona,4,2013,SLUNCH3,Information not available,252.75
CA,California,4,2013,SLUNCH3,Eligible,223.69
CA,California,4,2013,SLUNCH3,Not eligible,249.0
CA,California,4,2013,SLUNCH3,Information not available,238.88
CO,Colorado,4,2013,SLUNCH3,Eligible,233.28
CO,Colorado,4,2013,SLUNCH3,Not eligible,257.27
CO,Colorado,4,2013,SLUNCH3,Information not available,999.0
CT,Connecticut,4,2013,SLUNCH3,Eligible,224.62
CT,Connecticut,4,2013,SLUNCH3,Not eligible,255.13
CT,Connecticut,4,2013,SLUNCH3,Information not available,999.0
DE,Delaware,4,2013,SLUNCH3,Eligible,233.26
DE,Delaware,4,2013,SLUNCH3,Not eligible,253.98
DE,Delaware,4,2013,SLUNCH3,Information not available,999.0
FL,Florida,4,2013,SLUNCH3,Eligible,233.26
FL,Florida,4,2013,SLUNCH3,Not eligible,254.73
FL,Florida,4,2013,SLUNCH3,Information not available,999.0
GA,Georgia,4,2013,SLUNCH3,Eligible,230.37
GA,Georgia,4,2013,SLUNCH3,Not eligible,255.46
GA,Georgia,4,2013,SLUNCH3,Information not available,999.0
HI,Hawaii,4,2013,SLUNCH3,Eligible,233.9
HI,Hawaii,4,2013,SLUNCH3,Not eligible,253.33
HI,Hawaii,4,2013,SLUNCH3,Information not available,999.0
IA,Iowa,4,2013,SLUNCH3,Eligible,232.08
IA,Iowa,4,2013,SLUNCH3,Not eligible,254.67
IA,Iowa,4,2013,SLUNCH3,Information not available,999.0
ID,Idaho,4,2013,SLUNCH3,Eligible,233.13
ID,Idaho,4,2013,SLUNCH3,Not eligible,248.43
ID,Idaho,4,2013,SLUNCH3,Information not available,999.0
IL,Illinois,4,2013,SLUNCH3,Eligible,226.28
